Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.70376664078105,GS-Tech,2050,EE 2022,EUR/ton steel
BR,583.3614266103373,GS-Tech,2050,EE 2022,EUR/ton steel
CA,530.703441597669,GS-Tech,2050,EE 2022,EUR/ton steel
CH,1425.4474021982933,GS-Tech,2050,EE 2022,EUR/ton steel
CN,251.44463419428078,GS-Tech,2050,EE 2022,EUR/ton steel
EU,682.1429320248036,GS-Tech,2050,EE 2022,EUR/ton steel
GB,377.24206612519464,GS-Tech,2050,EE 2022,EUR/ton steel
ID,384.67893692392437,GS-Tech,2050,EE 2022,EUR/ton steel
IN,222.688481928892,GS-Tech,2050,EE 2022,EUR/ton steel
JP,506.65872625695476,GS-Tech,2050,EE 2022,EUR/ton steel
KR,377.20249183564135,GS-Tech,2050,EE 2022,EUR/ton steel
MX,500.63417860404485,GS-Tech,2050,EE 2022,EUR/ton steel
NO,670.6879329934202,GS-Tech,2050,EE 2022,EUR/ton steel
RU,356.8040285164717,GS-Tech,2050,EE 2022,EUR/ton steel
TR,327.1624247382109,GS-Tech,2050,EE 2022,EUR/ton steel
US,679.1584942560113,GS-Tech,2050,EE 2022,EUR/ton steel
WA,682.3623549555707,GS-Tech,2050,EE 2022,EUR/ton steel
WE,185.38907912342853,GS-Tech,2050,EE 2022,EUR/ton steel
WF,530.3374986572485,GS-Tech,2050,EE 2022,EUR/ton steel
WL,1183.5138970130506,GS-Tech,2050,EE 2022,EUR/ton steel
WM,637.4426064524337,GS-Tech,2050,EE 2022,EUR/ton steel
ZA,234.4045156217041,GS-Tech,2050,EE 2022,EUR/ton steel
