Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.45162496983664,GS-Tech,2050,EE clean,EUR/ton steel
BR,583.3073614855932,GS-Tech,2050,EE clean,EUR/ton steel
CA,530.5087357250034,GS-Tech,2050,EE clean,EUR/ton steel
CH,1423.190056445644,GS-Tech,2050,EE clean,EUR/ton steel
CN,251.37452553103492,GS-Tech,2050,EE clean,EUR/ton steel
EU,652.9995875886434,GS-Tech,2050,EE clean,EUR/ton steel
GB,377.0498474126604,GS-Tech,2050,EE clean,EUR/ton steel
ID,384.61776518715254,GS-Tech,2050,EE clean,EUR/ton steel
IN,222.65798221878939,GS-Tech,2050,EE clean,EUR/ton steel
JP,506.5066439992579,GS-Tech,2050,EE clean,EUR/ton steel
KR,377.0159859578965,GS-Tech,2050,EE clean,EUR/ton steel
MX,500.4834495497784,GS-Tech,2050,EE clean,EUR/ton steel
NO,669.5390147313851,GS-Tech,2050,EE clean,EUR/ton steel
RU,356.56588344542774,GS-Tech,2050,EE clean,EUR/ton steel
TR,326.1453027806256,GS-Tech,2050,EE clean,EUR/ton steel
US,678.6602553582236,GS-Tech,2050,EE clean,EUR/ton steel
WA,682.1893794744041,GS-Tech,2050,EE clean,EUR/ton steel
WE,184.71494938740398,GS-Tech,2050,EE clean,EUR/ton steel
WF,530.2346946225965,GS-Tech,2050,EE clean,EUR/ton steel
WL,1183.404122984757,GS-Tech,2050,EE clean,EUR/ton steel
WM,635.6434460752025,GS-Tech,2050,EE clean,EUR/ton steel
ZA,234.38655680059063,GS-Tech,2050,EE clean,EUR/ton steel
