Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.4920287762138,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
BR,583.3160207614347,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
CA,530.5399568403806,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
CH,1423.6141511285034,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
CN,251.38578537290866,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
EU,657.67602223802,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
GB,377.08350839811493,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
ID,384.62751151043534,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
IN,222.6628936832853,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
JP,506.5282762497177,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
KR,377.04564542401323,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
MX,500.5075587423951,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
NO,669.7460403977088,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
RU,356.6026799893783,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
TR,326.30580220299413,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
US,678.7393183087729,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
WA,682.217957110907,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
WE,184.81524414061982,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
WF,530.2510450808481,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
WL,1183.4216471645327,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
WM,635.9317754799711,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
ZA,234.38941134116544,GS-Tech,2050,H2 100%ELZ,EUR/ton steel
