Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.48969819882154,GS-Tech,2050,H2 100%SR,EUR/ton steel
BR,583.315526558302,GS-Tech,2050,H2 100%SR,EUR/ton steel
CA,530.538173586609,GS-Tech,2050,H2 100%SR,EUR/ton steel
CH,1423.6131478767531,GS-Tech,2050,H2 100%SR,EUR/ton steel
CN,251.38525127313974,GS-Tech,2050,H2 100%SR,EUR/ton steel
EU,657.3543688404948,GS-Tech,2050,H2 100%SR,EUR/ton steel
GB,377.08293861094154,GS-Tech,2050,H2 100%SR,EUR/ton steel
ID,384.62717171555164,GS-Tech,2050,H2 100%SR,EUR/ton steel
IN,222.66275128511688,GS-Tech,2050,H2 100%SR,EUR/ton steel
JP,506.5277446892881,GS-Tech,2050,H2 100%SR,EUR/ton steel
KR,377.0440189587296,GS-Tech,2050,H2 100%SR,EUR/ton steel
MX,500.50613849447745,GS-Tech,2050,H2 100%SR,EUR/ton steel
NO,669.7360016867426,GS-Tech,2050,H2 100%SR,EUR/ton steel
RU,356.6007784857531,GS-Tech,2050,H2 100%SR,EUR/ton steel
TR,326.2961564587833,GS-Tech,2050,H2 100%SR,EUR/ton steel
US,678.7346117842519,GS-Tech,2050,H2 100%SR,EUR/ton steel
WA,682.2166998737745,GS-Tech,2050,H2 100%SR,EUR/ton steel
WE,184.81478730215017,GS-Tech,2050,H2 100%SR,EUR/ton steel
WF,530.2504465660903,GS-Tech,2050,H2 100%SR,EUR/ton steel
WL,1183.4206826805712,GS-Tech,2050,H2 100%SR,EUR/ton steel
WM,635.9128785597142,GS-Tech,2050,H2 100%SR,EUR/ton steel
ZA,234.3893885771052,GS-Tech,2050,H2 100%SR,EUR/ton steel
