Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.49193116011077,GS-Tech,2050,H2-inj min,EUR/ton steel
BR,583.3160000730257,GS-Tech,2050,H2-inj min,EUR/ton steel
CA,530.5398821248094,GS-Tech,2050,H2-inj min,EUR/ton steel
CH,1423.614109109112,GS-Tech,2050,H2-inj min,EUR/ton steel
CN,251.38576298922672,GS-Tech,2050,H2-inj min,EUR/ton steel
EU,657.6625507440975,GS-Tech,2050,H2-inj min,EUR/ton steel
GB,377.0834845052165,GS-Tech,2050,H2-inj min,EUR/ton steel
ID,384.62749726027226,GS-Tech,2050,H2-inj min,EUR/ton steel
IN,222.66288774337215,GS-Tech,2050,H2-inj min,EUR/ton steel
JP,506.52825395746976,GS-Tech,2050,H2-inj min,EUR/ton steel
KR,377.0455772857122,GS-Tech,2050,H2-inj min,EUR/ton steel
MX,500.5074992314025,GS-Tech,2050,H2-inj min,EUR/ton steel
NO,669.745619828365,GS-Tech,2050,H2-inj min,EUR/ton steel
RU,356.6026000636927,GS-Tech,2050,H2-inj min,EUR/ton steel
TR,326.30539819091024,GS-Tech,2050,H2-inj min,EUR/ton steel
US,678.7391212397888,GS-Tech,2050,H2-inj min,EUR/ton steel
WA,682.2179041320421,GS-Tech,2050,H2-inj min,EUR/ton steel
WE,184.8152248952243,GS-Tech,2050,H2-inj min,EUR/ton steel
WF,530.2510259243046,GS-Tech,2050,H2-inj min,EUR/ton steel
WL,1183.4216070638215,GS-Tech,2050,H2-inj min,EUR/ton steel
WM,635.9309820156906,GS-Tech,2050,H2-inj min,EUR/ton steel
ZA,234.3894101500639,GS-Tech,2050,H2-inj min,EUR/ton steel
