Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.1830429080902,IEA STEPS,2050,Average,EUR/ton steel
BR,583.0384308345755,IEA STEPS,2050,Average,EUR/ton steel
CA,529.5383875208353,IEA STEPS,2050,Average,EUR/ton steel
CH,1423.050660118735,IEA STEPS,2050,Average,EUR/ton steel
CN,251.0858129268925,IEA STEPS,2050,Average,EUR/ton steel
EU,477.0157920830827,IEA STEPS,2050,Average,EUR/ton steel
GB,376.7635016485355,IEA STEPS,2050,Average,EUR/ton steel
ID,384.43662996568673,IEA STEPS,2050,Average,EUR/ton steel
IN,222.58291437969083,IEA STEPS,2050,Average,EUR/ton steel
JP,506.2297338130278,IEA STEPS,2050,Average,EUR/ton steel
KR,376.1321489527564,IEA STEPS,2050,Average,EUR/ton steel
MX,499.7098762201087,IEA STEPS,2050,Average,EUR/ton steel
NO,664.107804085982,IEA STEPS,2050,Average,EUR/ton steel
RU,355.5348549972144,IEA STEPS,2050,Average,EUR/ton steel
TR,320.8880635566359,IEA STEPS,2050,Average,EUR/ton steel
US,676.0958365215828,IEA STEPS,2050,Average,EUR/ton steel
WA,681.5122208346976,IEA STEPS,2050,Average,EUR/ton steel
WE,184.55879678191866,IEA STEPS,2050,Average,EUR/ton steel
WF,529.9146280448168,IEA STEPS,2050,Average,EUR/ton steel
WL,1182.879864868765,IEA STEPS,2050,Average,EUR/ton steel
WM,625.3183012943183,IEA STEPS,2050,Average,EUR/ton steel
ZA,234.3762918498377,IEA STEPS,2050,Average,EUR/ton steel
