Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.2398435385911,IEA STEPS,2050,EE 2022,EUR/ton steel
BR,583.0509616510896,IEA STEPS,2050,EE 2022,EUR/ton steel
CA,529.5832696629252,IEA STEPS,2050,EE 2022,EUR/ton steel
CH,1424.7589961360397,IEA STEPS,2050,EE 2022,EUR/ton steel
CN,251.10879250207205,IEA STEPS,2050,EE 2022,EUR/ton steel
EU,480.2659655734772,IEA STEPS,2050,EE 2022,EUR/ton steel
GB,376.8807226431155,IEA STEPS,2050,EE 2022,EUR/ton steel
ID,384.46473955465444,IEA STEPS,2050,EE 2022,EUR/ton steel
IN,222.59859328123176,IEA STEPS,2050,EE 2022,EUR/ton steel
JP,506.3218735258261,IEA STEPS,2050,EE 2022,EUR/ton steel
KR,376.1805511522022,IEA STEPS,2050,EE 2022,EUR/ton steel
MX,499.7421602390992,IEA STEPS,2050,EE 2022,EUR/ton steel
NO,664.3812715940318,IEA STEPS,2050,EE 2022,EUR/ton steel
RU,355.6087620912333,IEA STEPS,2050,EE 2022,EUR/ton steel
TR,321.1040000332246,IEA STEPS,2050,EE 2022,EUR/ton steel
US,676.2023826619,IEA STEPS,2050,EE 2022,EUR/ton steel
WA,681.572092375279,IEA STEPS,2050,EE 2022,EUR/ton steel
WE,185.0837818059376,IEA STEPS,2050,EE 2022,EUR/ton steel
WF,529.9601267190945,IEA STEPS,2050,EE 2022,EUR/ton steel
WL,1182.9078229710283,IEA STEPS,2050,EE 2022,EUR/ton steel
WM,625.5801024240288,IEA STEPS,2050,EE 2022,EUR/ton steel
ZA,234.38938536529716,IEA STEPS,2050,EE 2022,EUR/ton steel
