Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.0035538787429,REPowerEU,2030,CCUS min,EUR/ton steel
BR,583.2125044588682,REPowerEU,2030,CCUS min,EUR/ton steel
CA,530.1664429825805,REPowerEU,2030,CCUS min,EUR/ton steel
CH,1423.725652596769,REPowerEU,2030,CCUS min,EUR/ton steel
CN,251.27542748064747,REPowerEU,2030,CCUS min,EUR/ton steel
EU,589.5469604358902,REPowerEU,2030,CCUS min,EUR/ton steel
GB,376.9829086220546,REPowerEU,2030,CCUS min,EUR/ton steel
ID,384.5593296857509,REPowerEU,2030,CCUS min,EUR/ton steel
IN,222.6349804992241,REPowerEU,2030,CCUS min,EUR/ton steel
JP,506.42669348639106,REPowerEU,2030,CCUS min,EUR/ton steel
KR,376.7059130301743,REPowerEU,2030,CCUS min,EUR/ton steel
MX,500.20948180478035,REPowerEU,2030,CCUS min,EUR/ton steel
NO,667.6681211444617,REPowerEU,2030,CCUS min,EUR/ton steel
RU,356.20723388907095,REPowerEU,2030,CCUS min,EUR/ton steel
TR,324.27874031994946,REPowerEU,2030,CCUS min,EUR/ton steel
US,677.7508456803874,REPowerEU,2030,CCUS min,EUR/ton steel
WA,681.9599709095273,REPowerEU,2030,CCUS min,EUR/ton steel
WE,184.79263497567948,REPowerEU,2030,CCUS min,EUR/ton steel
WF,530.1302283110439,REPowerEU,2030,CCUS min,EUR/ton steel
WL,1183.2201038281416,REPowerEU,2030,CCUS min,EUR/ton steel
WM,631.9400682833043,REPowerEU,2030,CCUS min,EUR/ton steel
ZA,234.3864527519909,REPowerEU,2030,CCUS min,EUR/ton steel
