Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.0753379706552,REPowerEU,2030,CHL-inj max,EUR/ton steel
BR,583.2277274720238,REPowerEU,2030,CHL-inj max,EUR/ton steel
CA,530.2213688714652,REPowerEU,2030,CHL-inj max,EUR/ton steel
CH,1423.7569987478732,REPowerEU,2030,CHL-inj max,EUR/ton steel
CN,251.29188001882534,REPowerEU,2030,CHL-inj max,EUR/ton steel
EU,599.4532956823771,REPowerEU,2030,CHL-inj max,EUR/ton steel
GB,377.0004836024282,REPowerEU,2030,CHL-inj max,EUR/ton steel
ID,384.56980185641004,REPowerEU,2030,CHL-inj max,EUR/ton steel
IN,222.63936919225702,REPowerEU,2030,CHL-inj max,EUR/ton steel
JP,506.44307901075365,REPowerEU,2030,CHL-inj max,EUR/ton steel
KR,376.756010298508,REPowerEU,2030,CHL-inj max,EUR/ton steel
MX,500.25322574433176,REPowerEU,2030,CHL-inj max,EUR/ton steel
NO,667.9773554156078,REPowerEU,2030,CHL-inj max,EUR/ton steel
RU,356.2657973466999,REPowerEU,2030,CHL-inj max,EUR/ton steel
TR,324.5758385677694,REPowerEU,2030,CHL-inj max,EUR/ton steel
US,677.8958102261059,REPowerEU,2030,CHL-inj max,EUR/ton steel
WA,681.9986818668721,REPowerEU,2030,CHL-inj max,EUR/ton steel
WE,184.80679991723702,REPowerEU,2030,CHL-inj max,EUR/ton steel
WF,530.1486839450583,REPowerEU,2030,CHL-inj max,EUR/ton steel
WL,1183.2498156468896,REPowerEU,2030,CHL-inj max,EUR/ton steel
WM,632.5220628471706,REPowerEU,2030,CHL-inj max,EUR/ton steel
ZA,234.38717108974507,REPowerEU,2030,CHL-inj max,EUR/ton steel
