Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.14035000765926,REPowerEU,2030,CHL-inj min,EUR/ton steel
BR,583.2415142771026,REPowerEU,2030,CHL-inj min,EUR/ton steel
CA,530.2711129443051,REPowerEU,2030,CHL-inj min,EUR/ton steel
CH,1423.7853875964545,REPowerEU,2030,CHL-inj min,EUR/ton steel
CN,251.30678036198393,REPowerEU,2030,CHL-inj min,EUR/ton steel
EU,608.425040093944,REPowerEU,2030,CHL-inj min,EUR/ton steel
GB,377.01640056199227,REPowerEU,2030,CHL-inj min,EUR/ton steel
ID,384.5792858443809,REPowerEU,2030,CHL-inj min,EUR/ton steel
IN,222.64334385628544,REPowerEU,2030,CHL-inj min,EUR/ton steel
JP,506.4579186217546,REPowerEU,2030,CHL-inj min,EUR/ton steel
KR,376.8013812459418,REPowerEU,2030,CHL-inj min,EUR/ton steel
MX,500.2928427969369,REPowerEU,2030,CHL-inj min,EUR/ton steel
NO,668.2574155741868,REPowerEU,2030,CHL-inj min,EUR/ton steel
RU,356.31883503355544,REPowerEU,2030,CHL-inj min,EUR/ton steel
TR,324.8449102041749,REPowerEU,2030,CHL-inj min,EUR/ton steel
US,678.0270982522206,REPowerEU,2030,CHL-inj min,EUR/ton steel
WA,682.0337391573328,REPowerEU,2030,CHL-inj min,EUR/ton steel
WE,184.81962738963543,REPowerEU,2030,CHL-inj min,EUR/ton steel
WF,530.1653983900627,REPowerEU,2030,CHL-inj min,EUR/ton steel
WL,1183.2767249634642,REPowerEU,2030,CHL-inj min,EUR/ton steel
WM,633.0491518420472,REPowerEU,2030,CHL-inj min,EUR/ton steel
ZA,234.3878249789443,REPowerEU,2030,CHL-inj min,EUR/ton steel
