Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.14743873107426,REPowerEU,2030,EE 2022,EUR/ton steel
BR,583.2434420525619,REPowerEU,2030,EE 2022,EUR/ton steel
CA,530.27774780966,REPowerEU,2030,EE 2022,EUR/ton steel
CH,1425.1857904294297,REPowerEU,2030,EE 2022,EUR/ton steel
CN,251.31700581940012,REPowerEU,2030,EE 2022,EUR/ton steel
EU,605.4245620750552,REPowerEU,2030,EE 2022,EUR/ton steel
GB,377.10474642174876,REPowerEU,2030,EE 2022,EUR/ton steel
ID,384.59753630248076,REPowerEU,2030,EE 2022,EUR/ton steel
IN,222.65432196381863,REPowerEU,2030,EE 2022,EUR/ton steel
JP,506.53071365203823,REPowerEU,2030,EE 2022,EUR/ton steel
KR,376.81412841857934,REPowerEU,2030,EE 2022,EUR/ton steel
MX,500.295188940986,REPowerEU,2030,EE 2022,EUR/ton steel
NO,668.2912416875215,REPowerEU,2030,EE 2022,EUR/ton steel
RU,356.3497982988217,REPowerEU,2030,EE 2022,EUR/ton steel
TR,324.86007012909926,REPowerEU,2030,EE 2022,EUR/ton steel
US,678.0350969203619,REPowerEU,2030,EE 2022,EUR/ton steel
WA,682.0620344983854,REPowerEU,2030,EE 2022,EUR/ton steel
WE,185.27305832314843,REPowerEU,2030,EE 2022,EUR/ton steel
WF,530.1940877359006,REPowerEU,2030,EE 2022,EUR/ton steel
WL,1183.2835739425207,REPowerEU,2030,EE 2022,EUR/ton steel
WM,632.9345539659558,REPowerEU,2030,EE 2022,EUR/ton steel
ZA,234.39876497653668,REPowerEU,2030,EE 2022,EUR/ton steel
