Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.0382496215989,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
BR,583.2198622651529,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
CA,530.1929905820119,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
CH,1423.7408032763553,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
CN,251.28337956730226,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
EU,594.3350337295755,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
GB,376.99140328252673,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
ID,384.56439121054837,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
IN,222.63710170094603,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
JP,506.43461318568393,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
KR,376.7301267325045,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
MX,500.23062477062376,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
NO,667.817584701437,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
RU,356.2355388848104,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
TR,324.4223380261141,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
US,677.8209119103874,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
WA,681.9786831765551,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
WE,184.79948169604413,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
WF,530.1391485333993,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
WL,1183.2344651905605,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
WM,632.2213672792032,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
ZA,234.38680010249863,REPowerEU,2030,H2 100%ELZ,EUR/ton steel
