Region,Value,Scenario,Year,Sensitivity,Unit
AU,438.9948809526734,REPowerEU,2030,H2 100%SR,EUR/ton steel
BR,583.2106652220318,REPowerEU,2030,H2 100%SR,EUR/ton steel
CA,530.1598068308854,REPowerEU,2030,H2 100%SR,EUR/ton steel
CH,1423.7218653308198,REPowerEU,2030,H2 100%SR,EUR/ton steel
CN,251.2734396908067,REPowerEU,2030,H2 100%SR,EUR/ton steel
EU,588.3500758722475,REPowerEU,2030,H2 100%SR,EUR/ton steel
GB,376.98078518722804,REPowerEU,2030,H2 100%SR,EUR/ton steel
ID,384.55806458059743,REPowerEU,2030,H2 100%SR,EUR/ton steel
IN,222.63445026339323,REPowerEU,2030,H2 100%SR,EUR/ton steel
JP,506.42471382292604,REPowerEU,2030,H2 100%SR,EUR/ton steel
KR,376.6998602659225,REPowerEU,2030,H2 100%SR,EUR/ton steel
MX,500.2041966416031,REPowerEU,2030,H2 100%SR,EUR/ton steel
NO,667.6307593564485,REPowerEU,2030,H2 100%SR,EUR/ton steel
RU,356.20015735165174,REPowerEU,2030,H2 100%SR,EUR/ton steel
TR,324.24284457346357,REPowerEU,2030,H2 100%SR,EUR/ton steel
US,677.7333311542418,REPowerEU,2030,H2 100%SR,EUR/ton steel
WA,681.9552959008499,REPowerEU,2030,H2 100%SR,EUR/ton steel
WE,184.7909238478649,REPowerEU,2030,H2 100%SR,EUR/ton steel
WF,530.1279985304539,REPowerEU,2030,H2 100%SR,EUR/ton steel
WL,1183.2165139114256,REPowerEU,2030,H2 100%SR,EUR/ton steel
WM,631.8697524934904,REPowerEU,2030,H2 100%SR,EUR/ton steel
ZA,234.38636395905104,REPowerEU,2030,H2 100%SR,EUR/ton steel
