Region,Value,Scenario,Year,Sensitivity,Unit
AU,439.034955280106,REPowerEU,2030,H2-inj min,EUR/ton steel
BR,583.2191636720161,REPowerEU,2030,H2-inj min,EUR/ton steel
CA,530.1904700027337,REPowerEU,2030,H2-inj min,EUR/ton steel
CH,1423.7393647645267,REPowerEU,2030,H2-inj min,EUR/ton steel
CN,251.28262454696548,REPowerEU,2030,H2-inj min,EUR/ton steel
EU,593.8804271067894,REPowerEU,2030,H2-inj min,EUR/ton steel
GB,376.9905967335154,REPowerEU,2030,H2-inj min,EUR/ton steel
ID,384.56391060715686,REPowerEU,2030,H2-inj min,EUR/ton steel
IN,222.6369003223982,REPowerEU,2030,H2-inj min,EUR/ton steel
JP,506.4338612275583,REPowerEU,2030,H2-inj min,EUR/ton steel
KR,376.727827779402,REPowerEU,2030,H2-inj min,EUR/ton steel
MX,500.2286173168534,REPowerEU,2030,H2-inj min,EUR/ton steel
NO,667.8033937786456,REPowerEU,2030,H2-inj min,EUR/ton steel
RU,356.2328517274817,REPowerEU,2030,H2-inj min,EUR/ton steel
TR,324.40870385453604,REPowerEU,2030,H2-inj min,EUR/ton steel
US,677.8142594740451,REPowerEU,2030,H2-inj min,EUR/ton steel
WA,681.9769055290884,REPowerEU,2030,H2-inj min,EUR/ton steel
WE,184.79883131412456,REPowerEU,2030,H2-inj min,EUR/ton steel
WF,530.1383016391741,REPowerEU,2030,H2-inj min,EUR/ton steel
WL,1183.2331011547433,REPowerEU,2030,H2-inj min,EUR/ton steel
WM,632.194657902097,REPowerEU,2030,H2-inj min,EUR/ton steel
ZA,234.38676499464145,REPowerEU,2030,H2-inj min,EUR/ton steel
